date,open,high,low,close,volume,adjusted_close,change_percent,avg_vol_20d,prev_day_open,prev_day_high,prev_day_low,prev_day_close,prev_day_volume,prev_day_change_percent,prev_week_open,prev_week_high,prev_week_low,prev_week_close,prev_week_volume,prev_week_change_percent,prev_month_open,prev_month_high,prev_month_low,prev_month_close,prev_month_volume,prev_month_change_percent,prev_week_trend_percentage,prev_month_trend_percentage,next_day_target
2021-09-08,450.89,451.67,448.86,450.91,56181910,432.7981,-0.12,58341722.2,452.71,452.81,450.7423,451.46,51671527.0,-0.36,452.13,452.49,450.92,451.56,59300207.0,-0.15,442.46,442.795,441.31,442.13,41222594.0,-0.08,-0.14394543360793188,1.985841268405227,448.98
2021-09-09,450.7,452.57,448.72,448.98,57970406,430.9457,-0.43,59038525.5,450.89,451.67,448.86,450.91,56181910.0,-0.12,452.56,453.11,451.545,451.8,48721379.0,0.05,442.61,443.44,441.88,442.68,43339281.0,0.12,-0.6241699867197861,1.4231499051233423,445.44
2021-09-10,451.04,451.49,445.31,445.44,89948172,427.5478,-0.79,61588813.0,450.7,452.57,448.72,448.98,57970406.0,-0.43,453.32,454.05,451.91,453.19,42830871.0,0.31,443.82,443.882,442.62,443.78,44034340.0,0.25,-1.7100995167589752,0.37405921853171054,446.58
2021-09-13,448.64,448.92,444.11,446.58,83738648,428.6421,0.26,63802233.1,451.04,451.49,445.31,445.44,89948172.0,-0.79,451.98,453.63,451.55,453.08,47234359.0,-0.02,443.62,445.2572,442.66,445.11,38942422.0,0.3,-1.4346252317471528,0.3302554424748872,444.17
2021-09-14,448.12,448.34,443.22,444.17,78197133,426.3289,-0.54,64015546.4,448.64,448.92,444.11,446.58,83738648.0,0.26,452.71,452.81,450.7423,451.46,51671527.0,-0.36,445.59,445.94,445.07,445.92,39470246.0,0.18,-1.6147609976520543,-0.3924470757086473,447.88
2021-09-15,444.62,448.41,443.44,447.88,78792227,429.8898,0.84,63321461.25,448.12,448.34,443.22,444.17,78197133.0,-0.54,450.89,451.67,448.86,450.91,56181910.0,-0.12,444.53,447.11,442.87,446.97,73930867.0,0.24,-0.6719744516644185,0.20359308230976755,447.17
2021-09-16,447.32,448.36,444.02,447.17,77786734,429.2084,-0.16,62743201.45,444.62,448.41,443.44,447.88,78792227.0,0.84,450.7,452.57,448.72,448.98,57970406.0,-0.43,444.24,444.96,440.85,444.04,92673930.0,-0.66,-0.403135997149094,0.7048914512206097,441.4
2021-09-17,444.92,445.37,441.02,441.4,118425000,425.0275,-0.97,64023838.95,447.32,448.36,444.02,447.17,77786734.0,-0.16,451.04,451.49,445.31,445.44,89948172.0,-0.79,442.96,444.625,438.92,439.18,89351930.0,-1.09,-0.9069683908046022,0.5054874994307507,434.04
2021-09-20,434.88,436.56,428.86,434.04,166445500,417.9405,-1.67,68745678.4,444.92,445.37,441.02,441.4,118425000.0,-0.97,448.64,448.92,444.11,446.58,83738648.0,0.26,436.27,441.14,436.12,439.86,92812250.0,0.15,-2.8080075238479028,-1.3231482744509602,433.63
2021-09-21,436.53,437.91,433.07,433.63,92526109,417.5457,-0.09,70623331.9,434.88,436.56,428.86,434.04,166445500.0,-1.67,448.12,448.34,443.22,444.17,78197133.0,-0.54,440.23,443.71,439.71,443.36,72008711.0,0.8,-2.3729653060765066,-2.194604835799354,437.86
